from_stage_id,to_stage_id,distance_km,hour,fare,corridor_group,fare_id,source_code
STG007,DST-NGONG-ROAD,17.2,18,150.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,17.2,18,150.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,17.2,22,130.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,17.2,22,80.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,17.2,22,100.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,17.2,22,100.0,Ngong Road,FR015,S10
STG001,DST-THIKA-ROAD,21.2,7,100.0,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,21.2,7,80.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,21.2,7,150.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,23.8,8,112.5,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,23.8,8,100.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,23.8,8,175.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,21.2,10,70.0,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,21.2,10,80.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,21.2,10,150.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,25.0,14,80.0,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,25.0,14,80.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,25.0,14,150.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,26.2,17,112.5,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,26.2,17,100.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,26.2,17,175.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,28.7,18,125.0,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,28.7,18,120.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,28.7,18,200.0,Thika Road,FR013,S02
STG001,DST-THIKA-ROAD,28.7,22,90.0,Thika Road,FR001,S07
STG001,DST-THIKA-ROAD,28.7,22,80.0,Thika Road,FR012,S02
STG001,DST-THIKA-ROAD,28.7,22,150.0,Thika Road,FR013,S02
STG001,DST-WAIYAKI-WAY,17.0,7,100.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,17.0,7,100.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,17.0,7,80.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,19.0,8,100.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,19.0,8,115.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,19.0,8,90.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,17.0,10,80.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,17.0,10,90.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,17.0,10,80.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,20.0,14,80.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,20.0,14,90.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,20.0,14,80.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,21.0,17,100.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,21.0,17,115.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,21.0,17,90.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,23.0,18,100.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,23.0,18,130.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,23.0,18,100.0,Waiyaki Way,FR014,S02
STG001,DST-WAIYAKI-WAY,23.0,22,80.0,Waiyaki Way,FR005,S08
STG001,DST-WAIYAKI-WAY,23.0,22,90.0,Waiyaki Way,FR008,S09
STG001,DST-WAIYAKI-WAY,23.0,22,80.0,Waiyaki Way,FR014,S02
